instance,part_name,changed,expected_change,v15_9_bbox,v15_10_bbox,v15_9_nodes,v15_10_nodes,v15_9_elements,v15_10_elements,status,notes
V15_4_SPILLWAY_CHUTE_SLAB_I,V15_4_SPILLWAY_CHUTE_SLAB,NO,NO,"10.000000,-2.900000,3045.000000;38.000000,93.600000,3047.500000","10.000000,-2.900000,3045.000000;38.000000,93.600000,3047.500000",3600,3600,2730,2730,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_STILLING_BASIN_I,V15_4_SPILLWAY_STILLING_BASIN,NO,NO,"38.000000,-2.900000,3045.000000;145.000000,93.600000,3047.500000","38.000000,-2.900000,3045.000000;145.000000,93.600000,3047.500000",10560,10560,8385,8385,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,V15_4_SPILLWAY_DOWNSTREAM_PROTECTION,NO,NO,"145.000000,-2.900000,3037.000000;245.000000,93.600000,3043.000000","145.000000,-2.900000,3037.000000;245.000000,93.600000,3043.000000",11480,11480,9360,9360,PASS,v15.9 geometry retained byte-for-byte
V15_4_ECO_RELEASE_BASE_I,V15_4_ECO_RELEASE_BASE,NO,NO,"-35.000000,-15.400000,3051.500000;-5.000000,-2.900000,3058.000000","-35.000000,-15.400000,3051.500000;-5.000000,-2.900000,3058.000000",2352,2352,1820,1820,PASS,v15.9 geometry retained byte-for-byte
V15_4_ECO_RELEASE_LEFT_I,V15_4_ECO_RELEASE_LEFT_PIER,NO,NO,"-35.000000,-15.400000,3058.000000;-5.000000,-12.400000,3079.000000","-35.000000,-15.400000,3058.000000;-5.000000,-12.400000,3079.000000",3234,3234,2520,2520,PASS,v15.9 geometry retained byte-for-byte
V15_4_ECO_RELEASE_CENTRAL_I,V15_4_ECO_RELEASE_CENTRAL_PIER,NO,NO,"-35.000000,-9.900000,3058.000000;-5.000000,-7.400000,3079.000000","-35.000000,-9.900000,3058.000000;-5.000000,-7.400000,3079.000000",2772,2772,2100,2100,PASS,v15.9 geometry retained byte-for-byte
V15_4_ECO_RELEASE_RIGHT_I,V15_4_ECO_RELEASE_RIGHT_PIER,NO,NO,"-35.000000,-4.900000,3058.000000;-5.000000,-2.900000,3079.000000","-35.000000,-4.900000,3058.000000;-5.000000,-2.900000,3079.000000",2772,2772,2100,2100,PASS,v15.9 geometry retained byte-for-byte
V15_4_ECO_RELEASE_LINTEL_01_I,V15_4_ECO_RELEASE_LINTEL_01,NO,NO,"-35.000000,-12.400000,3063.000000;-5.000000,-9.900000,3079.000000","-35.000000,-12.400000,3063.000000;-5.000000,-9.900000,3079.000000",2142,2142,1600,1600,PASS,v15.9 geometry retained byte-for-byte
V15_4_ECO_RELEASE_LINTEL_02_I,V15_4_ECO_RELEASE_LINTEL_02,NO,NO,"-35.000000,-7.400000,3063.000000;-5.000000,-4.900000,3079.000000","-35.000000,-7.400000,3063.000000;-5.000000,-4.900000,3079.000000",2142,2142,1600,1600,PASS,v15.9 geometry retained byte-for-byte
V15_4_ECO_RELEASE_TOP_CAP_I,V15_4_ECO_RELEASE_TOP_CAP,NO,NO,"-35.000000,-15.400000,3077.000000;-19.000000,-2.900000,3079.000000","-35.000000,-15.400000,3077.000000;-19.000000,-2.900000,3079.000000",840,840,572,572,PASS,v15.9 geometry retained byte-for-byte
