instance,part_name,v15_8_bbox,v15_9_bbox,changed,reason,source_basis,v15_8_nodes,v15_9_nodes,v15_8_elements,v15_9_elements,status
V15_4_ECO_RELEASE_TOP_CAP_I,V15_4_ECO_RELEASE_TOP_CAP,"-35.000000,-15.000000,3077.000000;-19.000000,-2.500000,3079.000000","-35.000000,-15.400000,3077.000000;-19.000000,-2.900000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,714,840,416,572,PASS
V15_4_ECO_RELEASE_APPROACH_SLAB_I,V15_4_ECO_RELEASE_APPROACH_SLAB,"-5.000000,-15.000000,3050.000000;25.000000,-2.500000,3058.000000","-5.000000,-15.400000,3050.000000;25.000000,-2.900000,3058.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,640,2646,420,2080,PASS
V15_4_ECO_RELEASE_OUTLET_SLAB_I,V15_4_ECO_RELEASE_OUTLET_SLAB,"25.000000,-15.000000,3050.000000;38.000000,-2.500000,3051.000000","25.000000,-15.400000,3050.000000;38.000000,-2.900000,3051.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,588,588,338,338,PASS
V15_4_ECO_RELEASE_LINK_TO_BASIN_I,V15_4_ECO_RELEASE_LINK_TO_BASIN,"25.000000,-2.500000,3049.000000;38.000000,16.000000,3050.000000","25.000000,-2.900000,3049.000000;38.000000,6.850000,3050.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,840,462,494,260,PASS
V15_4_LEFT_BANK_SUBDAM_I,V15_4_LEFT_BANK_SUBDAM,"-112.000000,-122.000000,3030.000000;-64.000000,-15.000000,3079.000000","-101.000000,-147.700000,3059.000000;-86.000000,-58.000000,3079.000000",YES,"source left-bank concrete gravity sub-dam: crest 89.70 m, crest width 7 m, 3072 m slope break","source left-bank concrete gravity sub-dam: crest 89.70 m, crest width 7 m, 3072 m slope break",36573,444,29238,216,PASS
V15_4_FISHWAY_I,V15_4_FISHWAY,"-101.000000,-512.690000,3053.000000;442.000000,-58.120000,3076.000000","-101.000000,-512.690000,3053.000000;442.000000,-58.120000,3076.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,11438,11438,3327,3327,PASS
V15_4_FISHWAY_OUTLET_CHAMBER_I,V15_4_FISHWAY_OUTLET_CHAMBER,"-101.000000,-375.120000,3073.000000;-97.000000,-355.120000,3079.000000","-101.000000,-375.120000,3073.000000;-97.000000,-355.120000,3079.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,903,903,400,400,PASS
V15_4_FISHWAY_UPSTREAM_OUTLET_I,V15_4_FISHWAY_UPSTREAM_OUTLET,"-101.000000,-512.690000,3074.000000;-97.000000,-475.120000,3079.000000","-101.000000,-512.690000,3074.000000;-97.000000,-475.120000,3079.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,1170,1170,760,760,PASS
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01,"-30.000000,-97.100000,3037.000000;24.000000,-93.600000,3046.000000","-30.000000,-96.600000,3037.000000;24.000000,-94.100000,3046.000000",YES,source sediment flushing: two unit-pair outlets; 2.5x2.0 upstream/working and 2.5x3.0 maintenance opening,source sediment flushing: two unit-pair outlets; 2.5x2.0 upstream/working and 2.5x3.0 maintenance opening,1750,2574,716,1760,PASS
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02,"-30.000000,-43.800000,3037.000000;24.000000,-40.300000,3046.000000","-30.000000,-43.300000,3037.000000;24.000000,-40.800000,3046.000000",YES,source sediment flushing: two unit-pair outlets; 2.5x2.0 upstream/working and 2.5x3.0 maintenance opening,source sediment flushing: two unit-pair outlets; 2.5x2.0 upstream/working and 2.5x3.0 maintenance opening,1750,2574,716,1760,PASS
