Element label,Part,Instance,Element set,Material,Section,Coordinates,Error type
866,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-117.729746100,3057.370968000;439.000000000,-116.741006700,3059.387097000",NEGATIVE_VOLUME
867,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-118.718485600,3057.387097000;439.000000000,-117.729746100,3059.403226000",NEGATIVE_VOLUME
868,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-119.707225000,3057.403226000;439.000000000,-118.718485600,3059.419355000",NEGATIVE_VOLUME
869,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-120.695964400,3057.419355000;439.000000000,-119.707225000,3059.435484000",NEGATIVE_VOLUME
870,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-121.684703800,3057.435484000;439.000000000,-120.695964400,3059.451613000",NEGATIVE_VOLUME
871,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-122.673443200,3057.451613000;439.000000000,-121.684703800,3059.467742000",NEGATIVE_VOLUME
872,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-123.662182700,3057.467742000;439.000000000,-122.673443200,3059.483871000",NEGATIVE_VOLUME
873,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-124.650922100,3057.483871000;439.000000000,-123.662182700,3059.500000000",NEGATIVE_VOLUME
874,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-125.639661500,3057.500000000;439.000000000,-124.650922100,3059.516129000",NEGATIVE_VOLUME
875,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-126.628400900,3057.516129000;439.000000000,-125.639661500,3059.532258000",NEGATIVE_VOLUME
876,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-127.617140400,3057.532258000;439.000000000,-126.628400900,3059.548387000",NEGATIVE_VOLUME
877,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-128.605879800,3057.548387000;439.000000000,-127.617140400,3059.564516000",NEGATIVE_VOLUME
878,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-129.594619200,3057.564516000;439.000000000,-128.605879800,3059.580645000",NEGATIVE_VOLUME
879,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-130.583358600,3057.580645000;439.000000000,-129.594619200,3059.596774000",NEGATIVE_VOLUME
880,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-131.572098000,3057.596774000;439.000000000,-130.583358600,3059.612903000",NEGATIVE_VOLUME
881,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-132.560837500,3057.612903000;439.000000000,-131.572098000,3059.629032000",NEGATIVE_VOLUME
882,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-133.549576900,3057.629032000;439.000000000,-132.560837500,3059.645161000",NEGATIVE_VOLUME
883,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-134.538316300,3057.645161000;439.000000000,-133.549576900,3059.661290000",NEGATIVE_VOLUME
884,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-135.527055700,3057.661290000;439.000000000,-134.538316300,3059.677419000",NEGATIVE_VOLUME
885,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-136.515795200,3057.677419000;439.000000000,-135.527055700,3059.693548000",NEGATIVE_VOLUME
886,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-137.504534600,3057.693548000;439.000000000,-136.515795200,3059.709677000",NEGATIVE_VOLUME
887,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-138.493274000,3057.709677000;439.000000000,-137.504534600,3059.725806000",NEGATIVE_VOLUME
888,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-139.482013400,3057.725806000;439.000000000,-138.493274000,3059.741935000",NEGATIVE_VOLUME
