instance,part,role,global_bbox,centroid,nearest_named_neighbors,transformed_source,status
V15_4_SPILLWAY_LINTEL_02_I,V15_4_SPILLWAY_LINTEL_02,spillway_or_stilling_basin,"-20.000000000,16.850000000,3055.230000000;10.000000000,23.850000000,3079.000000000","-5.000000000,20.350000000,3067.115000000",V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I (0.000000 m);V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_LINTEL_03_I,V15_4_SPILLWAY_LINTEL_03,spillway_or_stilling_basin,"-20.000000000,26.850000000,3055.230000000;10.000000000,33.850000000,3079.000000000","-5.000000000,30.350000000,3067.115000000",V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I (0.000000 m);V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_LINTEL_04_I,V15_4_SPILLWAY_LINTEL_04,spillway_or_stilling_basin,"-20.000000000,36.850000000,3055.230000000;10.000000000,43.850000000,3079.000000000","-5.000000000,40.350000000,3067.115000000",V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I (0.000000 m);V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_LINTEL_05_I,V15_4_SPILLWAY_LINTEL_05,spillway_or_stilling_basin,"-20.000000000,46.850000000,3055.230000000;10.000000000,53.850000000,3079.000000000","-5.000000000,50.350000000,3067.115000000",V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I (0.000000 m);V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_LINTEL_06_I,V15_4_SPILLWAY_LINTEL_06,spillway_or_stilling_basin,"-20.000000000,56.850000000,3055.230000000;10.000000000,63.850000000,3079.000000000","-5.000000000,60.350000000,3067.115000000",V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I (0.000000 m);V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_LINTEL_07_I,V15_4_SPILLWAY_LINTEL_07,spillway_or_stilling_basin,"-20.000000000,66.850000000,3055.230000000;10.000000000,73.850000000,3079.000000000","-5.000000000,70.350000000,3067.115000000",V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I (0.000000 m);V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_LINTEL_08_I,V15_4_SPILLWAY_LINTEL_08,spillway_or_stilling_basin,"-20.000000000,76.850000000,3055.230000000;10.000000000,83.850000000,3079.000000000","-5.000000000,80.350000000,3067.115000000",V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I (0.000000 m);V15_4_SPILLWAY_RIGHT_ABUTMENT_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_CHUTE_SLAB_I,V15_4_SPILLWAY_CHUTE_SLAB,spillway_or_stilling_basin,"10.000000000,-2.900000000,3045.000000000;38.000000000,93.600000000,3047.500000000","24.000000000,45.350000000,3046.250000000",V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I (0.000000 m);V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I (0.000000 m);V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_STILLING_BASIN_I,V15_4_SPILLWAY_STILLING_BASIN,spillway_or_stilling_basin,"38.000000000,-2.900000000,3045.000000000;145.000000000,93.600000000,3047.500000000","91.500000000,45.350000000,3046.250000000",V15_4_SPILLWAY_CHUTE_SLAB_I (0.000000 m);V15_4_SPILLWAY_RIGHT_ABUTMENT_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,V15_4_SPILLWAY_DOWNSTREAM_PROTECTION,spillway_or_stilling_basin,"145.000000000,-2.900000000,3037.000000000;245.000000000,93.600000000,3043.000000000","195.000000000,45.350000000,3040.000000000",V15_7_FOUNDATION_GEOLOGY_I (0.000000 m);V15_4_SPILLWAY_STILLING_BASIN_I (2.000000 m);V15_4_TAILWATER_CHANNEL_I (12.500000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_ECO_RELEASE_BASE_I,V15_4_ECO_RELEASE_BASE,ecological_release,"-35.000000000,-15.400000000,3051.500000000;-5.000000000,-2.900000000,3058.000000000","-20.000000000,-9.150000000,3054.750000000",V15_4_ECO_RELEASE_APPROACH_SLAB_I (0.000000 m);V15_4_ECO_RELEASE_CENTRAL_I (0.000000 m);V15_4_ECO_RELEASE_LEFT_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_ECO_RELEASE_LEFT_I,V15_4_ECO_RELEASE_LEFT_PIER,ecological_release,"-35.000000000,-15.400000000,3058.000000000;-5.000000000,-12.400000000,3079.000000000","-20.000000000,-13.900000000,3068.500000000",V15_4_ECO_RELEASE_APPROACH_SLAB_I (0.000000 m);V15_4_ECO_RELEASE_BASE_I (0.000000 m);V15_4_ECO_RELEASE_LINTEL_01_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_ECO_RELEASE_CENTRAL_I,V15_4_ECO_RELEASE_CENTRAL_PIER,ecological_release,"-35.000000000,-9.900000000,3058.000000000;-5.000000000,-7.400000000,3079.000000000","-20.000000000,-8.650000000,3068.500000000",V15_4_ECO_RELEASE_APPROACH_SLAB_I (0.000000 m);V15_4_ECO_RELEASE_BASE_I (0.000000 m);V15_4_ECO_RELEASE_LINTEL_01_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_ECO_RELEASE_RIGHT_I,V15_4_ECO_RELEASE_RIGHT_PIER,ecological_release,"-35.000000000,-4.900000000,3058.000000000;-5.000000000,-2.900000000,3079.000000000","-20.000000000,-3.900000000,3068.500000000",V15_4_ECO_RELEASE_APPROACH_SLAB_I (0.000000 m);V15_4_ECO_RELEASE_BASE_I (0.000000 m);V15_4_ECO_RELEASE_LINTEL_02_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_ECO_RELEASE_LINTEL_01_I,V15_4_ECO_RELEASE_LINTEL_01,ecological_release,"-35.000000000,-12.400000000,3063.000000000;-5.000000000,-9.900000000,3079.000000000","-20.000000000,-11.150000000,3071.000000000",V15_4_ECO_RELEASE_CENTRAL_I (0.000000 m);V15_4_ECO_RELEASE_LEFT_I (0.000000 m);V15_4_ECO_RELEASE_TOP_CAP_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_ECO_RELEASE_LINTEL_02_I,V15_4_ECO_RELEASE_LINTEL_02,ecological_release,"-35.000000000,-7.400000000,3063.000000000;-5.000000000,-4.900000000,3079.000000000","-20.000000000,-6.150000000,3071.000000000",V15_4_ECO_RELEASE_CENTRAL_I (0.000000 m);V15_4_ECO_RELEASE_RIGHT_I (0.000000 m);V15_4_ECO_RELEASE_TOP_CAP_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_ECO_RELEASE_TOP_CAP_I,V15_4_ECO_RELEASE_TOP_CAP,ecological_release,"-35.000000000,-15.400000000,3077.000000000;-19.000000000,-2.900000000,3079.000000000","-27.000000000,-9.150000000,3078.000000000",V15_4_ECO_RELEASE_CENTRAL_I (0.000000 m);V15_4_ECO_RELEASE_LEFT_I (0.000000 m);V15_4_ECO_RELEASE_LINTEL_01_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
