instance,part,mesh_class,nodes,elements,source_nodes,source_elements,delta_nodes,delta_elements,remeshed,bbox
V15_4_SPILLWAY_LINTEL_06_I,V15_4_SPILLWAY_LINTEL_06,ENGINEERING_MESH,6200,5040,6200,5040,0,0,NO,"-20.000000,70.000000,3055.230000;10.000000,77.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_07_I,V15_4_SPILLWAY_LINTEL_07,ENGINEERING_MESH,6200,5040,6200,5040,0,0,NO,"-20.000000,80.000000,3055.230000;10.000000,87.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_08_I,V15_4_SPILLWAY_LINTEL_08,ENGINEERING_MESH,6200,5040,6200,5040,0,0,NO,"-20.000000,90.000000,3055.230000;10.000000,97.000000,3079.000000"
V15_4_SPILLWAY_CHUTE_SLAB_I,V15_4_SPILLWAY_CHUTE_SLAB,ENGINEERING_MESH,1872,1128,1872,1128,0,0,NO,"10.000000,16.000000,3045.000000;38.000000,133.000000,3047.500000"
V15_4_SPILLWAY_STILLING_BASIN_I,V15_4_SPILLWAY_STILLING_BASIN,ENGINEERING_MESH,6336,4042,6336,4042,0,0,NO,"38.000000,16.000000,3045.000000;145.000000,133.000000,3047.500000"
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,V15_4_SPILLWAY_DOWNSTREAM_PROTECTION,ENGINEERING_MESH,1050,480,1050,480,0,0,NO,"145.000000,16.000000,3037.000000;245.000000,133.000000,3043.000000"
V15_4_ECO_RELEASE_BASE_I,V15_4_ECO_RELEASE_BASE,ENGINEERING_MESH,640,420,640,420,0,0,NO,"-35.000000,-15.000000,3051.500000;-5.000000,-2.500000,3058.000000"
V15_4_ECO_RELEASE_LEFT_I,V15_4_ECO_RELEASE_LEFT_PIER,ENGINEERING_MESH,2728,1890,2728,1890,0,0,NO,"-35.000000,-15.000000,3058.000000;-5.000000,-12.000000,3079.000000"
V15_4_ECO_RELEASE_CENTRAL_I,V15_4_ECO_RELEASE_CENTRAL_PIER,ENGINEERING_MESH,2728,1890,2728,1890,0,0,NO,"-35.000000,-9.500000,3058.000000;-5.000000,-7.000000,3079.000000"
V15_4_ECO_RELEASE_RIGHT_I,V15_4_ECO_RELEASE_RIGHT_PIER,ENGINEERING_MESH,2046,1260,2046,1260,0,0,NO,"-35.000000,-4.500000,3058.000000;-5.000000,-2.500000,3079.000000"
V15_4_ECO_RELEASE_LINTEL_01_I,V15_4_ECO_RELEASE_LINTEL_01,ENGINEERING_MESH,2108,1440,2108,1440,0,0,NO,"-35.000000,-12.000000,3063.000000;-5.000000,-9.500000,3079.000000"
V15_4_ECO_RELEASE_LINTEL_02_I,V15_4_ECO_RELEASE_LINTEL_02,ENGINEERING_MESH,2108,1440,2108,1440,0,0,NO,"-35.000000,-7.000000,3063.000000;-5.000000,-4.500000,3079.000000"
V15_4_ECO_RELEASE_TOP_CAP_I,V15_4_ECO_RELEASE_TOP_CAP,ENGINEERING_MESH,714,416,714,416,0,0,NO,"-35.000000,-15.000000,3077.000000;-19.000000,-2.500000,3079.000000"
V15_4_ECO_RELEASE_APPROACH_SLAB_I,V15_4_ECO_RELEASE_APPROACH_SLAB,ENGINEERING_MESH,640,420,640,420,0,0,NO,"-5.000000,-15.000000,3050.000000;25.000000,-2.500000,3058.000000"
V15_4_ECO_RELEASE_OUTLET_SLAB_I,V15_4_ECO_RELEASE_OUTLET_SLAB,ENGINEERING_MESH,588,338,588,338,0,0,NO,"25.000000,-15.000000,3050.000000;38.000000,-2.500000,3051.000000"
V15_4_ECO_RELEASE_LINK_TO_BASIN_I,V15_4_ECO_RELEASE_LINK_TO_BASIN,ENGINEERING_MESH,840,494,840,494,0,0,NO,"25.000000,-2.500000,3049.000000;38.000000,16.000000,3050.000000"
V15_4_LEFT_BANK_SUBDAM_I,V15_4_LEFT_BANK_SUBDAM,ENGINEERING_MESH,36573,29238,36573,29238,0,0,NO,"-112.000000,-122.000000,3030.000000;-64.000000,-15.000000,3079.000000"
V15_4_FISHWAY_I,V15_4_FISHWAY,ENGINEERING_MESH,11438,3327,11438,3327,0,0,NO,"-101.000000,-512.690000,3053.000000;442.000000,-58.120000,3076.000000"
V15_4_FISHWAY_OUTLET_CHAMBER_I,V15_4_FISHWAY_OUTLET_CHAMBER,ENGINEERING_MESH,903,400,903,400,0,0,NO,"-101.000000,-375.120000,3073.000000;-97.000000,-355.120000,3079.000000"
V15_4_FISHWAY_UPSTREAM_OUTLET_I,V15_4_FISHWAY_UPSTREAM_OUTLET,ENGINEERING_MESH,1170,760,1170,760,0,0,NO,"-101.000000,-512.690000,3074.000000;-97.000000,-475.120000,3079.000000"
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01,ENGINEERING_MESH,1750,716,1750,716,0,0,NO,"-30.000000,-97.100000,3037.000000;24.000000,-93.600000,3046.000000"
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02,ENGINEERING_MESH,1750,716,1750,716,0,0,NO,"-30.000000,-43.800000,3037.000000;24.000000,-40.300000,3046.000000"
