instance,part,active_v12,active_v14,active_v15,nodes,elements,element_type,x_min,x_max,y_min,y_max,z_min,z_max,material,classification
RIVER_R11_Q2FGL_IV_I,RIVER_R11_Q2FGL_IV,YES,YES,YES,567,320,C3D8P,-600.0,900.0,150.0,445.0,3024.13647,3054.93677,Q2FGL_IV,REUSE_AS_IS
RIVER_R12_Q2FGL_III_I,RIVER_R12_Q2FGL_III,YES,YES,YES,567,320,C3D8P,-600.0,900.0,150.0,445.0,3015.09863,3053.26782,Q2FGL_III,REUSE_AS_IS
RIVER_R13_Q2FGL_II_I,RIVER_R13_Q2FGL_II,YES,YES,YES,567,320,C3D8P,-600.0,900.0,150.0,445.0,3008.43921,3050.85791,Q2FGL_II,REUSE_AS_IS
RIVER_R14_Q2FGL_I_I,RIVER_R14_Q2FGL_I,YES,YES,YES,756,480,C3D8P,-600.0,900.0,150.0,445.0,2992.03491,3049.08203,Q2FGL_I,REUSE_AS_IS
RIVER_ROCK_STRONG_UNLOADED_I,RIVER_ROCK_STRONG_UNLOADED,YES,YES,YES,567,320,C3D8R,-600.0,900.0,150.0,445.0,2962.03491,3044.70752,ROCK_STRONG_UNLOADED,REUSE_AS_IS
RIVER_ROCK_WEAK_UNLOADED_I,RIVER_ROCK_WEAK_UNLOADED,YES,YES,YES,567,320,C3D8R,-600.0,900.0,150.0,445.0,2947.03491,3014.70752,ROCK_WEAK_UNLOADED,REUSE_AS_IS
RIVER_ROCK_DEEP_UNLOADED_I,RIVER_ROCK_DEEP_UNLOADED,YES,YES,YES,567,320,C3D8R,-600.0,900.0,150.0,445.0,2817.03491,2999.70752,ROCK_DEEP_UNLOADED,REUSE_AS_IS
RIVER_FRESH_GRANITE_I,RIVER_FRESH_GRANITE,YES,YES,YES,567,320,C3D8R,-600.0,900.0,150.0,445.0,2600.0,2869.70752,FRESH_GRANITE,REUSE_AS_IS
RIGHT_Q4_COLLUVIAL_I,RIGHT_Q4_COLLUVIAL,YES,YES,YES,336,140,C3D8P,-600.0,900.0,445.0,850.0,3074.8999,3426.3999,Q4DEL,REUSE_AS_IS
RIGHT_R04_Q3AL_V_I,RIGHT_R04_Q3AL_V,YES,YES,YES,504,280,C3D8P,-600.0,900.0,445.0,850.0,3059.3999,3423.3999,Q3AL_V,REUSE_AS_IS
RIGHT_HIGH_TERRACE_COVER_I,RIGHT_HIGH_TERRACE_COVER,YES,YES,YES,168,60,C3D8P,-600.0,900.0,615.0,790.0,3271.7334,3398.19995,Q3AL_V,REUSE_AS_IS
RIGHT_ROCK_STRONG_UNLOADED_I,RIGHT_ROCK_STRONG_UNLOADED,YES,YES,YES,504,280,C3D8R,-600.0,900.0,445.0,850.0,3029.3999,3376.3999,ROCK_STRONG_UNLOADED,REUSE_AS_IS
RIGHT_ROCK_WEAK_UNLOADED_I,RIGHT_ROCK_WEAK_UNLOADED,YES,YES,YES,336,140,C3D8R,-600.0,900.0,445.0,850.0,3014.3999,3346.3999,ROCK_WEAK_UNLOADED,REUSE_AS_IS
RIGHT_ROCK_DEEP_UNLOADED_I,RIGHT_ROCK_DEEP_UNLOADED,YES,YES,YES,840,560,C3D8R,-600.0,900.0,445.0,850.0,2884.3999,3331.3999,ROCK_DEEP_UNLOADED,REUSE_AS_IS
RIGHT_FRESH_GRANITE_I,RIGHT_FRESH_GRANITE,YES,YES,YES,1008,700,C3D8R,-600.0,900.0,445.0,850.0,2600.0,3201.3999,FRESH_GRANITE,REUSE_AS_IS
