instance,element_label,x,y,z,mean_pore_pressure,hydraulic_head,gradient_x,gradient_y,gradient_z,gradient_norm,neighbor_count,status
P25_SOLID_CUTOFF_WALL_F13-1,32470,-35.5,463.0000305175781,3023.9249267578125,5.509860992431641,3024.4865843513326,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32471,-35.5,463.0000305175781,3027.8948974609375,6.422449111938477,3028.5495813663338,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32472,-35.5,463.0000305175781,3031.8599853515625,2.9929046630859375,3032.1650724731817,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32473,-35.5,463.0000305175781,3035.8250732421875,3.469991683959961,3036.178793087647,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32474,-35.5,463.0000305175781,3039.7950439453125,1.8996591567993164,3039.988689119298,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32475,-35.5,463.0000305175781,3043.760009765625,1.9236507415771484,3043.9561005649703,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32476,-35.5,463.0000305175781,3047.7249755859375,1.3449220657348633,3047.862072636471,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32477,-35.5,463.0000305175781,3051.6949462890625,1.0232162475585938,3051.799249678212,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32478,-35.5,463.0000305175781,3055.659912109375,0.8707799911499023,3055.748676634467,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32479,-35.5,463.0000305175781,3059.625,0.736630916595459,3059.7000897978182,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32480,-35.5,463.0000305175781,3063.5950927734375,0.8564481735229492,3063.682396358914,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32481,-35.5,463.0000305175781,3067.56005859375,0.866835355758667,3067.648421015336,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32482,-35.5,463.0000305175781,3071.5250244140625,0.9251192808151245,3071.619328112413,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32483,-35.5,467.0000305175781,3021.469970703125,-6.347648620605469,3020.8229117203923,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32484,-35.5,467.0000305175781,3023.9249267578125,-2.502817153930664,3023.6697975881966,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32485,-35.5,467.0000305175781,3027.8948974609375,-5.360960006713867,3027.348418357297,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32486,-35.5,467.0000305175781,3031.8599853515625,-3.4092140197753906,3031.5124609866516,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32487,-35.5,467.0000305175781,3035.8250732421875,-4.270135879516602,3035.3897892585464,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32488,-35.5,467.0000305175781,3039.7950439453125,-3.553539276123047,3039.432807525728,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32489,-35.5,467.0000305175781,3043.760009765625,-3.1506919860839844,3043.4388383093474,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32490,-35.5,467.0000305175781,3047.7249755859375,-2.8211231231689453,3047.4373993246563,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32491,-35.5,467.0000305175781,3051.6949462890625,-1.933450698852539,3051.4978565134406,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32492,-35.5,467.0000305175781,3055.659912109375,-1.6832923889160156,3055.488322671157,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32493,-35.5,467.0000305175781,3059.625,-0.9782581329345703,3059.5252794971525,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32494,-35.5,467.0000305175781,3063.5950927734375,-0.7285909652709961,3063.520822542523,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32495,-35.5,467.0000305175781,3067.56005859375,-0.16057181358337402,3067.543690417034,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32496,-35.5,467.0000305175781,3071.5250244140625,0.41189730167388916,3071.567011906588,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32497,-35.5,471.0000305175781,3021.469970703125,11.286823272705078,3022.6205133405056,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32498,-35.5,471.0000305175781,3023.9249267578125,3.919790267944336,3024.324497631201,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32499,-35.5,471.0000305175781,3027.8948974609375,5.765651702880859,3028.482629540742,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32500,-35.5,471.0000305175781,3031.8599853515625,3.447786331176758,3032.2114416544346,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32501,-35.5,471.0000305175781,3035.8250732421875,3.2360897064208984,3036.154949868734,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32502,-35.5,471.0000305175781,3039.7950439453125,2.6838884353637695,3040.068630941782,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
